Nama Pengguna,Rating,Tanggal,Ulasan
Mas Joko,5,2026-05-09 5:32:05,"driver ramah, perjalanan malam dilayani dengan baik"
ABINYA ANTA,5,2026-05-09 5:30:14,jos jis
Ady Hanifan,1,2026-05-09 5:27:04,"sering telat tapi gak dapet vocer, gk mau rugi banget"
Yana Robbyana80,5,2026-05-09 5:24:49,kerenn
Julius Lau,1,2026-05-09 5:21:04,sudah mendownload pas mau seratus keulang lagi jadinnol
Shinohara clan,1,2026-05-09 4:58:24,jelek ngasih titik gak pernah akurat
Herman Man,1,2026-05-09 4:49:46,"kalau ingin aplikasi ini dicintai pelanggan segeralah hapus aplikasi hemat, karena tdk ada satupun driver yg tertarik untuk mengambil orderanya, belum lagi pelanggan kesulitan utk mencari driver, disaat hujan sudah pasti pelanggan memilih maxim dan grab karena sudah pasti kesulitan mencari drivernya, jujur gojek sekarang sudah makin parah layananya"
Muhammad Ikbal,5,2026-05-09 4:47:32,ok
PIQIH NURBANY,1,2026-05-09 4:46:00,kalau nagih itu agak maksa suruh cepat bayar. Blm jatuh tempo di tagih berkali surh buru2 bayar
Ade Novianta,5,2026-05-09 4:43:22,mempermudah
Ali Kafi,5,2026-05-09 4:42:08,Bagus
Mul Yadi,5,2026-05-09 4:36:24,terima kasih
M Fathan S,1,2026-05-09 4:21:16,aplikasi kocak
Saefudin,5,2026-05-09 4:20:30,mantaap
Siti siti zahro,5,2026-05-09 4:18:24,sangat nyaman orangnya
Bella Fia,5,2026-05-09 3:45:50,sangat membantu
Viar Rachmat Adhitama,5,2026-05-09 3:24:55,Mudah dan nyaman
Keyndra Tama,5,2026-05-09 3:09:23,perjalanan cpt lancar dn nyaman gunakan aplikasi gojek
nowbali tour,5,2026-05-09 3:07:42,on time
Titik Dayanti,5,2026-05-09 2:54:01,baik
Akun sementara,1,2026-05-09 2:49:09,"pantes saham nya anjlok, baru aja mau pakai, daftarnya aja susahnya minta ampun, bnyk kali lag nya"
Hasan Uddin,5,2026-05-09 2:46:26,ok
Maria Feronika,5,2026-05-09 2:43:39,mantab
Use Madi Sudrajat,5,2026-05-09 2:21:23,Terima kasih
Zwas,5,2026-05-09 2:07:27,aplikasi yang sangat membantu
Alvin Nalendara,5,2026-05-09 2:02:47,bagi banget
Mohamad Esa Elyasa,5,2026-05-09 1:40:41,makin keren dan harus menjadi transporter yang profesional
Da Dang,5,2026-05-09 1:06:58,mudah aman dan cepat
RIDWAN BAEHAKI,5,2026-05-09 1:05:33,bagus
Fatah Rizki,5,2026-05-09 0:51:53,ok. puas pake hojek
Hana Mariska Dewi,1,2026-05-09 0:14:37,apk busuk
Noob Gamers,5,2026-05-09 0:07:52,GG GO-JEK Good... 馃憤
roy bhina wiraswasta,5,2026-05-09 0:04:32,"aman ,nyaman ,lengkap atribut ,pelayanan ok banget"
Dwianita Yoshi,5,2026-05-08 23:33:12,selalu menjadi andalan
Eko Riski lesmana,4,2026-05-08 23:30:44,baik
punya uje,1,2026-05-08 23:26:23,apalah udh di intsal malah stak logo
Delia Kirana Aqila,5,2026-05-08 23:15:34,cepet sampe
Dini Fauzan,5,2026-05-08 21:38:01,mantap
Fauzan Arif,5,2026-05-08 21:15:50,Ok
Ridwan Syah,5,2026-05-08 20:01:58,sukses selalu gojek indonesia
Zahra Yuliana,5,2026-05-08 19:42:32,keren
Gepeng Gass store,5,2026-05-08 19:05:18,mantap
Jayautama mandiri,5,2026-05-08 18:48:58,ok
Efendi Pulpis,3,2026-05-08 18:30:34,kerja bagus
Alvi Sed,1,2026-05-08 17:10:16,"kecewa Ama gopay dan gojek,masak main game dan udah selesai misi nya gak bisa klaim hadiah nya.padahal saya sudah lapor masalah"
Bryan Yan,1,2026-05-08 16:44:51,respon customer service buruk...
Erna Wati,5,2026-05-08 16:36:58,mantap
joksin sinaga,5,2026-05-08 16:07:28,membantu sekali
natal salomo,5,2026-05-08 15:26:48,bagus
